                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.52859,                0.88292,                0.90032,                 0.6196,                0.55188,                0.51761,                0.40856,                0.92053,                 2.1155,                 1.1119,              0.0006792,              0.0006792,              0.0006792
                     56,                0.55889,                0.87853,                0.91461,                0.79367,                0.44391,                0.51848,                0.42367,                0.89124,                 2.1639,                 1.1018,             0.00066506,             0.00066506,             0.00066506
                     57,                0.53098,                 0.8407,                0.89916,                0.82413,                0.48908,                0.53572,                0.43509,                0.86231,                 2.2078,                 1.0848,             0.00065091,             0.00065091,             0.00065091
                     58,                0.58921,                0.74649,                0.89245,                0.65862,                0.51022,                0.49442,                0.38946,                0.83548,                 2.2439,                 1.1039,             0.00063676,             0.00063676,             0.00063676
                     59,                 0.5224,                0.74965,                0.88291,                0.73839,                0.43407,                0.47309,                 0.3652,                0.85048,                 2.3075,                 1.0932,             0.00062262,             0.00062262,             0.00062262
                     60,                 0.5365,                0.78815,                0.90076,                 0.6485,                0.49011,                0.44632,                0.35224,                0.85827,                 2.3521,                 1.0896,             0.00060847,             0.00060847,             0.00060847
                     61,                0.55522,                0.74797,                 0.8931,                0.57335,                0.54718,                0.44901,                0.37015,                0.87766,                 2.3686,                 1.0876,             0.00059432,             0.00059432,             0.00059432
                     62,                0.58067,                 0.8656,                 0.8752,                0.62853,                0.54864,                0.45289,                0.36272,                0.85857,                 2.4024,                 1.0774,             0.00058017,             0.00058017,             0.00058017
                     63,                0.49768,                 0.6901,                0.86626,                0.57793,                0.46887,                 0.4207,                0.33161,                0.84484,                 2.4866,                 1.0644,             0.00056603,             0.00056603,             0.00056603
                     64,                0.49119,                0.69164,                0.87581,                0.39405,                0.53766,                0.37201,                0.31599,                0.81768,                 2.5802,                 1.0381,             0.00055188,             0.00055188,             0.00055188
                     65,                0.49686,                0.66795,                0.86463,                0.44262,                0.50591,                0.37972,                0.32747,                0.80754,                 2.6618,                  1.031,             0.00053773,             0.00053773,             0.00053773
                     66,                0.52331,                0.76464,                0.89564,                0.46994,                 0.4949,                0.39861,                0.32374,                0.82927,                 2.4546,                 1.0347,             0.00052359,             0.00052359,             0.00052359
                     67,                0.50456,                0.73401,                0.90629,                0.55215,                0.53909,                0.43714,                0.34428,                0.86457,                 2.2599,                 1.0572,             0.00050944,             0.00050944,             0.00050944
                     68,                0.47865,                0.68258,                0.86731,                0.51453,                0.48004,                0.43196,                0.35025,                 0.8592,                 2.1634,                 1.0602,             0.00049529,             0.00049529,             0.00049529
                     69,                 0.5097,                0.74711,                0.89421,                 0.5417,                0.50205,                0.44043,                0.37481,                0.83226,                 2.2393,                 1.0495,             0.00048114,             0.00048114,             0.00048114
                     70,                0.50888,                0.67162,                0.87149,                0.53131,                0.49359,                0.40569,                 0.3487,                0.81039,                 2.2847,                 1.0463,               0.000467,               0.000467,               0.000467
                     71,                0.47623,                0.71612,                0.87215,                0.44486,                0.50535,                0.41713,                0.34181,                0.80572,                 2.3096,                 1.0531,             0.00045285,             0.00045285,             0.00045285
                     72,                 0.4549,                0.72782,                0.87998,                0.59026,                0.41102,                0.44426,                 0.3666,                0.83048,                 2.3394,                 1.0961,              0.0004387,              0.0004387,              0.0004387
                     73,                0.47284,                0.63887,                0.85937,                0.56884,                0.46261,                0.48301,                0.38109,                0.86189,                 2.2732,                 1.1453,             0.00042456,             0.00042456,             0.00042456
                     74,                0.49178,                 0.6354,                0.87238,                0.69235,                0.45029,                0.49463,                0.39179,                0.85866,                  2.221,                 1.1495,             0.00041041,             0.00041041,             0.00041041
                     75,                0.49657,                0.68095,                0.89244,                0.74228,                0.44205,                0.50834,                 0.4038,                0.85831,                 2.1898,                 1.1351,             0.00039626,             0.00039626,             0.00039626
                     76,                 0.4551,                0.62076,                0.87514,                0.73262,                0.45484,                 0.5183,                0.42274,                0.82092,                 2.1041,                 1.0912,             0.00038211,             0.00038211,             0.00038211
                     77,                0.44805,                0.65351,                0.88751,                 0.6076,                 0.5465,                0.51371,                0.43869,                0.82328,                 2.0108,                   1.09,             0.00036797,             0.00036797,             0.00036797
                     78,                0.42823,                0.61535,                0.85359,                0.65119,                0.54789,                0.53475,                0.46466,                0.80834,                  1.998,                 1.0613,             0.00035382,             0.00035382,             0.00035382
                     79,                0.47449,                0.62053,                0.88927,                0.74443,                 0.5335,                0.56504,                0.48443,                0.82698,                 2.0051,                 1.0635,             0.00033967,             0.00033967,             0.00033967
                     80,                0.46439,                0.61598,                 0.8591,                0.78582,                0.53841,                0.56655,                 0.4858,                0.83682,                 2.0073,                 1.0606,             0.00032553,             0.00032553,             0.00032553
                     81,                0.44291,                0.61976,                0.82329,                0.79605,                 0.5289,                0.57168,                0.48565,                0.85372,                  1.996,                 1.0601,             0.00031138,             0.00031138,             0.00031138
                     82,                0.44109,                0.58554,                0.87034,                0.76522,                0.54039,                0.58736,                0.49818,                0.85951,                 1.9998,                 1.0611,             0.00029723,             0.00029723,             0.00029723
                     83,                 0.4468,                0.60132,                0.86738,                0.76423,                0.54039,                0.57921,                0.48796,                 0.8634,                 2.0305,                 1.0608,             0.00028308,             0.00028308,             0.00028308
                     84,                0.42458,                0.60888,                  0.865,                0.77142,                0.54039,                0.57692,                0.47806,                0.87453,                 2.0201,                 1.0772,             0.00026894,             0.00026894,             0.00026894
                     85,                0.47351,                0.62459,                0.87489,                0.78795,                0.53979,                0.55618,                 0.4607,                0.88274,                 2.0042,                 1.0874,             0.00025479,             0.00025479,             0.00025479
                     86,                0.42817,                0.56935,                0.85263,                0.81688,                0.54039,                0.55371,                0.45805,                 0.8718,                 1.9561,                 1.0895,             0.00024064,             0.00024064,             0.00024064
                     87,                0.44521,                0.60822,                0.85125,                0.80069,                0.54039,                0.54202,                0.45642,                0.85175,                 1.9054,                 1.0761,              0.0002265,              0.0002265,              0.0002265
                     88,                0.40577,                0.54201,                0.84498,                 0.7238,                0.53397,                0.53437,                0.45217,                0.85848,                 1.8544,                 1.0839,             0.00021235,             0.00021235,             0.00021235
                     89,                 0.4172,                0.57805,                0.87211,                0.63274,                0.54039,                0.53488,                0.45258,                0.86538,                 1.8377,                 1.0806,              0.0001982,              0.0001982,              0.0001982
                     90,                0.39638,                0.58244,                0.85007,                0.77312,                0.47748,                0.55362,                 0.4707,                0.87618,                 1.8446,                 1.0747,             0.00018406,             0.00018406,             0.00018406
                     91,                0.50414,                 0.8848,                0.86915,                0.71008,                0.48993,                0.55644,                0.47204,                0.89214,                 1.8457,                 1.0796,             0.00016991,             0.00016991,             0.00016991
                     92,                0.48055,                0.82316,                0.87242,                0.58537,                0.61191,                0.56466,                 0.4882,                0.88196,                 1.8645,                 1.0651,             0.00015576,             0.00015576,             0.00015576
                     93,                0.49504,                0.77973,                0.83634,                0.61284,                0.60281,                0.56777,                0.48768,                0.89564,                   1.89,                 1.0776,             0.00014161,             0.00014161,             0.00014161
                     94,                0.45384,                0.73912,                0.84525,                0.61281,                0.60042,                0.56495,                0.48012,                0.91624,                 1.9262,                 1.0915,             0.00012747,             0.00012747,             0.00012747
                     95,                0.53522,                0.73049,                0.85394,                0.61527,                0.59838,                 0.5576,                0.47457,                0.90877,                 1.9678,                 1.0898,             0.00011332,             0.00011332,             0.00011332
                     96,                0.46775,                0.77584,                0.81666,                0.61879,                0.58684,                0.56196,                0.47706,                0.91983,                 2.0099,                 1.0923,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                0.44127,                0.70838,                 0.8124,                0.61697,                0.58777,                0.54797,                0.46918,                0.91403,                 2.0208,                 1.0845,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                0.45292,                0.68738,                0.86562,                0.61284,                0.59772,                0.54866,                0.46697,                 0.8978,                 2.0085,                 1.0761,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                0.48709,                0.70861,                 0.8594,                 0.6042,                0.58522,                0.54704,                0.46577,                0.89423,                 1.9936,                 1.0761,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                0.45107,                0.69896,                0.85684,                0.67749,                0.53295,                 0.5547,                0.47234,                0.89123,                 1.9759,                 1.0724,             4.2584e-05,             4.2584e-05,             4.2584e-05
